"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_39/code_row_8.c","101","34","101","45"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_10.c","7","14","7","17"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_17.c","9","14","9","17"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_19.c","13","10","13","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_2.c","9","7","9","10"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_23.c","8","10","8","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_25.c","19","10","19","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_29.c","9","18","9","21"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_104/code_row_4.c","13","14","13","17"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_106/code_row_10.c","10","10","10","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_107/code_row_13.c","15","14","15","17"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_52/code_row_8.c","23","9","23","12"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_64/code_row_18.c","55","10","55","13"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_115/code_row_7.c","10","5","10","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_38/code_row_20.c","14","5","14","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_38/code_row_20.c","16","5","16","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_38/code_row_6.c","8","9","8","12"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_38/code_row_6.c","11","9","11","12"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_52/code_row_28.c","41","3","41","6"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_52/code_row_28.c","47","3","47","6"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_81/code_row_12.c","15","9","15","12"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_93/code_row_11.c","63","5","63","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_93/code_row_11.c","67","5","67","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_7.c","111","5","111","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_7.c","117","5","117","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_8.c","27","5","27","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_8.c","33","5","33","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_8.c","39","5","39","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_8.c","45","5","45","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_95/code_row_8.c","63","5","63","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_97/code_row_14.c","33","6","33","9"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_97/code_row_14.c","41","5","41","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_97/code_row_14.c","49","5","49","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_97/code_row_14.c","57","5","57","8"
"Use of dangerous function","Use of a standard library function that does not guard against buffer overflow.","error","'gets' does not guard against buffer overflow.","/syntactic_permutations_98/code_row_15.c","55","9","55","12"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'call to strcpy' operation requires 35 bytes but the destination is only 10 bytes.","/syntactic_permutations_129/code_row_25.c","45","5","45","10"
"Static array access may cause overflow","Exceeding the size of a static array during write or access operations may result in a buffer overflow.","warning","Potential buffer-overflow: 'sql' has size 256 but 'sql[256]' may be accessed here.","/syntactic_permutations_142/code_row_31.c","41","5","41","12"
"Static array access may cause overflow","Exceeding the size of a static array during write or access operations may result in a buffer overflow.","warning","Potential buffer-overflow: 'hashedPassword' has size 32 but 'hashedPassword[64]' may be accessed here.","/syntactic_permutations_98/code_row_16.c","53","5","53","22"
"Static array access may cause overflow","Exceeding the size of a static array during write or access operations may result in a buffer overflow.","warning","Potential buffer-overflow: 'salt' has size 4 but 'salt[5]' may be accessed here.","/syntactic_permutations_99/code_row_4.c","74","5","74","11"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""buffer""|""relative:///syntactic_permutations_109/code_row_21.c:55:12:55:17""]].","/syntactic_permutations_109/code_row_21.c","55","12","55","17"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""command""|""relative:///syntactic_permutations_109/code_row_9.c:27:10:27:16""]].","/syntactic_permutations_109/code_row_9.c","27","10","27","16"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""output""|""relative:///syntactic_permutations_111/code_row_10.c:43:8:43:13""]].","/syntactic_permutations_111/code_row_10.c","43","8","43","13"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""output""|""relative:///syntactic_permutations_96/code_row_3.c:12:20:12:25""]].","/syntactic_permutations_96/code_row_3.c","12","12","12","25"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""password""|""relative:///syntactic_permutations_97/code_row_41.c:29:12:29:19""]].","/syntactic_permutations_97/code_row_41.c","29","12","29","19"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""str""|""relative:///syntactic_permutations_41/code_row_13.c:8:13:8:15""]].","/syntactic_permutations_41/code_row_13.c","8","12","8","18"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for __builtin___sprintf_chk (in a macro expansion) expects 3 arguments but given 2","/syntactic_permutations_68/code_row_14.c","100","5","100","116"
